metric,value,n
base_mmlu_intact_flip,0.208333,96
base_mmlu_mismatch_flip,0.666667,96
base_mmlu_acc,0.291667,96
rl_mmlu_intact_flip,0.156250,96
rl_mmlu_mismatch_flip,0.666667,96
rl_mmlu_acc,0.291667,96
base_arc_intact_flip,0.056962,158
base_arc_mismatch_flip,0.556962,158
base_arc_acc,0.772152,158
rl_arc_intact_flip,0.044304,158
rl_arc_mismatch_flip,0.632911,158
rl_arc_acc,0.759494,158
monitorability_decay_mmlu,0.000000,96
monitorability_decay_arc,-0.075949,96
decay_indomain_minus_ood,0.075949,96
mcnemar_p_mmlu_base_vs_rl,0.871000,96
mcnemar_p_arc_base_vs_rl,0.134000,158
decay_mmlu_ci_lo,-0.125000,96
decay_mmlu_ci_hi,0.125000,96
decay_arc_ci_lo,-0.164600,158
decay_arc_ci_hi,0.019000,158
